Race,Year,Date,Finishers
Grizzly Peak Trail Run,2023,5/13/23,20
Nashville NC Running Festival Marathon,2023,10/28/23,20
Summer Camp Series - Day 1,2023,7/15/23,20
Summer Camp Series - Day 3,2023,7/17/23,20
Fort Wayne Marathon and Half,2023,4/29/23,19
ONU Polar Bear Indoor Marathon,2023,1/29/23,19
Rivanna Greenbelt September Marathon,2023,12/3/23,19
Riverboat Series - TN,2023,4/20/23,19
San Juan Island Marathon,2023,6/17/23,19
Streakers Marathon,2023,4/15/23,19
Alaska Series - Day 1,2023,7/25/23,18
Aloha Series - Day 3,2023,1/21/23,18
Day of the Dead Marathon Series Day 2,2023,10/29/23,18
Honest Abe Trail Run Marathon,2023,9/17/23,18
Manatee Marathon & Tallahassee Ultra Distance Classic,2023,12/9/23,18
Northwest Series - OR 2,2023,9/24/23,18
San Miguel Buzz Marathon,2023,2/18/23,18
Woolley Marathon,2023,2/18/23,18
Aloha Series - Day 2,2023,1/20/23,17
Aloha Series - Day 4,2023,1/22/23,17
Horseshoe Lake Trail Run,2023,4/23/23,17
Pine Line Trail Marathon,2023,4/22/23,17
Northwest Series - ID 2,2023,9/28/23,16
Six-O Trail,2023,9/2/23,16
Chili Pepper Series - Day 2,2023,3/12/23,15
"Labor Day Triple, Day 3",2023,9/4/23,15
Midsouth Marathon,2023,11/4/23,15
Savage Seven Marathon Day 7,2023,1/2/23,15
NJ Trail Series One Day Marathon,2023,9/30/23,14
Race of Champions Marathon,2023,5/7/23,14
Alaska Series - Day 2,2023,7/26/23,13
"Jump off Joe Marathon, Half, 10k",2023,9/9/23,13
Summer Camp Series - Day 5,2023,7/19/23,13
Alaska Series - Day 4,2023,7/28/23,12
Savage Seven Marathon Day 6,2023,1/1/23,12
Summer Camp Series - Day 4,2023,7/18/23,12
Surfside Beach Marathon,2023,2/18/23,12
Hatcher Pass Marathon,2023,8/5/23,11
Mountain Magic Marathon,2023,6/18/23,10
Rock Creek Scenic City Trail Marathon,2023,5/13/23,10
Saddleback Marathon,2023,11/11/23,10
Monster Trail Marathon,2023,9/3/23,9
Napa Valley Trail Marathon,2023,3/18/23,9
Run The Rock Marathon,2023,10/14/23,7
American Heroes Run,2023,9/9/23,5
Oregon Trail Run,2023,10/21/23,5
Free State Trail Marathon,2023,10/28/23,2
