Race,Year,Date,Finishers
Charlevoix Marathon,2023,6/17/23,416
The Cheap! Marathon,2023,4/16/23,408
Fox Cities Marathon,2023,9/17/23,403
Town of Celebration Marathon,2023,1/29/23,403
Catalina Marathon,2023,3/11/23,382
Avenue of the Giants Marathon,2023,5/7/23,381
Big Beach Marathon,2023,1/29/23,379
Equinox Marathon,2023,9/16/23,377
WhistleStop Marathon,2023,10/14/23,376
One City Marathon,2023,3/5/23,374
Sioux Falls Marathon,2023,8/27/23,366
Tacoma City Marathon,2023,4/30/23,365
"Nashville Half Marathon, Marathon & 5K",2023,10/28/23,363
Chickamauga Battlefield Marathon,2023,11/11/23,344
New England Green River Marathon,2023,8/27/23,340
Salina Crossroads Marathon,2023,11/4/23,331
Marshall University Marathon,2023,11/5/23,330
OBX Marathon,2023,11/12/23,327
Maui Oceanfront Marathon,2023,1/15/23,324
Colorado Springs Marathon,2023,9/30/23,321
Deseret News Classic Marathon,2023,7/24/23,320
Newport Marathon,2023,6/3/23,318
Clarence Demar Marathon,2023,9/24/23,317
Maui Marathon,2023,4/23/23,317
The Kauai Marathon,2023,9/3/23,317
St. Petersburg Marathon,2023,2/12/23,312
Coast Guard Marathon,2023,3/4/23,311
Moose Mountain Marathon,2023,9/9/23,306
Spinx Run Fest,2023,10/28/23,304
Kalamazoo Marathon,2023,4/23/23,302
Eugene Curnow Trail Marathon (formerly the Half Voyageur Trail Marathon),2023,7/15/23,301
Suffolk County Marathon,2023,10/22/23,299
Holland Haven Marathon,2023,9/10/23,297
Modesto Marathon,2023,3/26/23,295
Prairie Fire Wichita Marathon,2023,10/8/23,293
Wisconsin Marathon,2023,5/6/23,293
Lost Dutchman Marathon,2023,2/19/23,290
Albany Marathon (formerly the Snickers Marathon Energy Bar Marathon),2023,3/4/23,289
Sri Chinmoy Marathon (formerly Self-Transcendence Marathon),2023,8/24/23,288
Bass Pro Shops Marathon,2023,11/5/23,287
"Louisville Marathon, Half Marathon & 10K",2023,11/5/23,284
Jekyll Island Marathon,2023,1/15/23,283
Ocean State Marathon & Rhode Race,2023,10/29/23,283
Brew City Marathon,2023,4/22/23,282
Coeur d' Alene Marathon,2023,5/28/23,281
North Central Trail Marathon,2023,11/25/23,278
Hilton Head Marathon,2023,2/11/23,277
North Olympic Discovery Marathon,2023,6/4/23,272
Lake Placid Marathon,2023,6/11/23,265
Panama City Beach Marathon,2023,12/2/23,263
Foot Traffic Flat Marathon,2023,7/4/23,259
Bellingham Bay Marathon,2023,9/24/23,257
Pro Football Hall of Fame Marathon,2023,5/7/23,257
Hamptons Marathon,2023,9/23/23,256
Mad Marathon,2023,7/9/23,253
Salisbury Marathon,2023,4/1/23,253
Bend Marathon and Half,2023,4/16/23,250
B&A Trail Marathon,2023,3/26/23,249
Ann Arbor Marathon,2023,10/1/23,248
Capital City Marathon,2023,5/21/23,247
Harpeth Hills Flying Monkey Marathon,2023,11/19/23,244
El Paso Marathon,2023,2/12/23,238
Columbia Gorge Marathon,2023,10/22/23,235
Jackson Hole Marathon,2023,9/23/23,233
Steamboat Marathon,2023,6/4/23,233
Med-City Marathon,2023,5/13/23,231
Blue Sky Marathon,2023,10/21/23,222
Anchorage Runfest Humpy's Marathon (prev. Big Wild Life Runs Marathon),2023,8/20/23,221
Run Oak Island,2023,2/18/23,221
Windermere Marathon,2023,5/21/23,217
Last Chance BQ.2 Chicagoland Marathon,2023,9/9/23,216
Sackets Harbor Marathon & Half Marathon,2023,9/3/23,216
York Marathon and Half Marathon,2023,5/7/23,216
Chattanooga Marathon,2023,3/5/23,212
Florida Marathon & Half Marathon,2023,2/12/23,210
Hogeye Marathon,2023,4/15/23,210
Mt. Nebo Marathon,2023,8/26/23,210
Lake Wobegon Trail Marathon,2023,5/6/23,209
Loco Marathon,2023,10/22/23,207
Deadwood-Mickelson Trail Marathon,2023,6/4/23,206
South Texas International Marathon,2023,12/2/23,206
Des Plaines River Trail Marathon,2023,10/14/23,205
Heartland Marathon,2023,9/24/23,201
Millinocket Marathon,2023,12/2/23,193
Whidbey Island Marathon,2023,4/23/23,189
New Hampshire Marathon,2023,9/30/23,188
A Run Through Time,2023,3/11/23,186
3 Bridges Marathon,2023,12/9/23,184
Aspen Valley Marathon,2023,7/15/23,184
Leavenworth Marathon,2023,9/30/23,184
Maritime Marathon,2023,6/11/23,183
Bismarck Marathon,2023,9/16/23,179
Charlottesville Marathon,2023,4/1/23,179
Fort Worth Marathon,2023,11/12/23,179
Pocatello Marathon,2023,9/2/23,179
Great New York State Marathon,2023,10/15/23,178
Marathon of the Treasure Coast,2023,3/5/23,177
Surfers Point Marathon,2023,9/10/23,175
Potomac River Run Marathon,2023,5/6/23,174
Tallahassee Marathon,2023,2/5/23,174
BHM26.2,2023,10/1/23,173
Famous Idaho Potato Marathon,2023,5/13/23,172
The Haunted Forest Marathon,2023,10/29/23,172
Bakersfield Marathon,2023,3/26/23,169
Bemidji Blue Ox Marathon,2023,10/14/23,168
Logan Marathon,2023,9/16/23,168
Umstead Trail Marathon,2023,3/4/23,166
Mill Race Marathon,2023,9/23/23,165
Athens Marathon (Ohio),2023,4/16/23,164
New River Marathon,2023,5/13/23,164
Shoreline Marathon,2023,7/16/23,164
Greenbrier River Trail Marathon,2023,10/8/23,163
Lake Tahoe Marathon,2023,10/15/23,163
Sehgahunda Trail Marathon,2023,5/20/23,162
Washington's Birthday Marathon,2023,2/19/23,159
Emerald Isle Marathon,2023,10/28/23,154
Gettysburg North-South Marathon,2023,4/30/23,153
Mississippi Blues Marathon,2023,2/25/23,153
Spokane Series Marathon,2023,10/8/23,153
North Country Trail Run,2023,8/26/23,151
Montana Marathon,2023,5/21/23,149
